id,name_id,desc_id,name,technique_root,grade,desc,weight,condition,sect_id,effects
,名称ID,描述ID,名称,属性,品阶（上中下）,描述/提示词,抽样权重,条件,宗门ID(空=散修),JSON形式（支持宽松格式，见effects.py说明）
1,TECHNIQUE_1_NAME,TECHNIQUE_1_DESC,混元金身,GOLD,LOWER,佛门护教神功，浑身坚若金石，寻常兵刃难伤。,1,,,
2,TECHNIQUE_2_NAME,TECHNIQUE_2_DESC,金钟罩,GOLD,MIDDLE,运气成钟，护持周身，反震外力。,1,,,"{""extra_battle_strength_points"": 3}"
4,TECHNIQUE_4_NAME,TECHNIQUE_4_DESC,青元长生功,WOOD,LOWER,木系基础功法，气息绵长，有驻颜延寿之效。,1,,,
5,TECHNIQUE_5_NAME,TECHNIQUE_5_DESC,太乙青木气,WOOD,MIDDLE,汲取天地草木精气，生机浩荡，万木臣服。,1,,,"{""extra_battle_strength_points"": 3}"
7,TECHNIQUE_7_NAME,TECHNIQUE_7_DESC,若水诀,WATER,LOWER,上善若水，水利万物而不争，绵柔醇厚。,1,,,
8,TECHNIQUE_8_NAME,TECHNIQUE_8_DESC,北冥玄水拳,WATER,MIDDLE,驾驭滔滔黑水，重若千钧，拳意如深海暗流。,1,,,"{""extra_battle_strength_points"": 3}"
10,TECHNIQUE_10_NAME,TECHNIQUE_10_DESC,火灵诀,FIRE,LOWER,最基础的法术，凝聚火炎伤敌，简单实用。,1,,,
11,TECHNIQUE_11_NAME,TECHNIQUE_11_DESC,纯阳真功,FIRE,MIDDLE,纯阳之气，刚猛无铸，克制阴邪。,1,,,"{""extra_battle_strength_points"": 3}"
13,TECHNIQUE_13_NAME,TECHNIQUE_13_DESC,搬山诀,EARTH,LOWER,力能扛鼎，气力悠长，如下山猛虎。,1,,,
14,TECHNIQUE_14_NAME,TECHNIQUE_14_DESC,不动明王诀,EARTH,MIDDLE,不动如山，动如雷震，佛门护法神功。,1,,,"{""extra_battle_strength_points"": 3}"
16,TECHNIQUE_16_NAME,TECHNIQUE_16_DESC,凝神冰心诀,ICE,LOWER,心若冰清，天塌不惊，凝神静气。,1,,,{extra_retreat_success_rate: 0.1}
17,TECHNIQUE_17_NAME,TECHNIQUE_17_DESC,玄冰劲,ICE,MIDDLE,寒气透骨，冻结经脉，阴狠霸道。,1,,,"{""extra_battle_strength_points"": 3}"
19,TECHNIQUE_19_NAME,TECHNIQUE_19_DESC,流云百变身,WIND,LOWER,身法灵动，变幻莫测，逃跑一流。,1,,,
20,TECHNIQUE_20_NAME,TECHNIQUE_20_DESC,踏云步,WIND,MIDDLE,借力腾空，左脚踩右脚，直上青云九霄。,1,,,"{""extra_battle_strength_points"": 3}"
22,TECHNIQUE_22_NAME,TECHNIQUE_22_DESC,敛息术,DARK,LOWER,收敛气息，如枯木死灰，令人难以察觉。,1,,,
23,TECHNIQUE_23_NAME,TECHNIQUE_23_DESC,幻影迷踪步,DARK,MIDDLE,如鬼魅般难以捉摸，步法诡异，令人眼花缭乱。,1,,,"{""extra_battle_strength_points"": 3}"
25,TECHNIQUE_25_NAME,TECHNIQUE_25_DESC,掌心雷,THUNDER,LOWER,道家正宗法术，掌心发雷，震慑妖邪。,1,,,
26,TECHNIQUE_26_NAME,TECHNIQUE_26_DESC,五雷正法,THUNDER,MIDDLE,役使五行之雷，刚猛霸道，无坚不摧。,1,,,"{""extra_battle_strength_points"": 3}"
28,TECHNIQUE_28_NAME,TECHNIQUE_28_DESC,燃血爆元术,EVIL,LOWER,燃烧精血，短暂爆发实力，事后虚弱。,1,,,"{extra_breakthrough_success_rate: -0.1, extra_respire_exp: 50, extra_battle_strength_points: 2}"
29,TECHNIQUE_29_NAME,TECHNIQUE_29_DESC,吞灵归元功,EVIL,MIDDLE,强行吸取他人灵力为己用，霸道异常，常有反噬风险。,1,,,"{""extra_breakthrough_success_rate"": -0.1, ""extra_respire_exp"": 50, ""extra_battle_strength_points"": 3}"
30,TECHNIQUE_30_NAME,TECHNIQUE_30_DESC,斩星枯荣剑,GOLD,UPPER,一剑枯荣，斩尽日月星辰，乃剑道至高境界。,10,,1,"{""extra_battle_strength_points"": 6}"
31,TECHNIQUE_31_NAME,TECHNIQUE_31_DESC,九霄御雷术,THUNDER,UPPER,引九天雷霆入剑，煌煌天威，荡尽群魔。,10,,1,"{""extra_battle_strength_points"": 6}"
32,TECHNIQUE_32_NAME,TECHNIQUE_32_DESC,沧浪剑意,FIRE,UPPER,君不见沧浪之水天上来，奔流到海不复回。,10,,1,"{""extra_battle_strength_points"": 6}"
33,TECHNIQUE_33_NAME,TECHNIQUE_33_DESC,乙木长生诀,WOOD,UPPER,上古木系至高功法，生生不息，枯木逢春。,10,,2,"{""extra_battle_strength_points"": 5, ""extra_refine_success_rate"": 0.1}"
34,TECHNIQUE_34_NAME,TECHNIQUE_34_DESC,龙象镇魔功,EARTH,UPPER,以气引神，力若龙象，举手投足，镇压诸邪。,10,,2,"{""extra_battle_strength_points"": 6}"
35,TECHNIQUE_35_NAME,TECHNIQUE_35_DESC,垂天阴阳翼,EVIL,UPPER,入海为鱼，扶摇为鸟。阴阳变化，极速与吞噬并存。,10,,2,"{""extra_breakthrough_success_rate"": -0.1, ""extra_respire_exp"": 50, ""extra_battle_strength_points"": 6, ""extra_move_step"": 1}"
36,TECHNIQUE_36_NAME,TECHNIQUE_36_DESC,太虚行者录,WATER,UPPER,以无限空间证道，掌控虚空，先天立于不败之地。,10,,3,"{""extra_battle_strength_points"": 6}"
37,TECHNIQUE_37_NAME,TECHNIQUE_37_DESC,太上忘情篇,ICE,UPPER,太上忘情，非无情，乃忘情。至公至正，威力无穷。,10,,3,"{""extra_battle_strength_points"": 6}"
38,TECHNIQUE_38_NAME,TECHNIQUE_38_DESC,逍遥游,WIND,UPPER,乘天地之正，而御六气之辩，以游无穷。,10,,3,"{""extra_battle_strength_points"": 6, ""extra_move_step"": 1}"
39,TECHNIQUE_39_NAME,TECHNIQUE_39_DESC,混沌噬灵诀,DARK,UPPER,吞噬万千体质本源，以后天返先天，铸就混沌之躯。,10,,4,"{""extra_battle_strength_points"": 6}"
40,TECHNIQUE_40_NAME,TECHNIQUE_40_DESC,罗刹魔典,EVIL,UPPER,魔门至高宝典，包罗万象，直指破碎虚空之境。,10,,4,"{""extra_breakthrough_success_rate"": -0.1, ""extra_respire_exp"": 50, ""extra_battle_strength_points"": 6}"
41,TECHNIQUE_41_NAME,TECHNIQUE_41_DESC,血海不灭经,ICE,UPPER,血海不枯，真身不死。演化亿万血神子。,10,,4,"{""extra_battle_strength_points"": 6}"
42,TECHNIQUE_42_NAME,TECHNIQUE_42_DESC,九转火源经,FIRE,UPPER,通过吞噬天地异火进化功法，潜力无限，号令万火。,10,,5,"{""extra_battle_strength_points"": 6, ""extra_cast_success_rate"": 0.1, ""extra_refine_success_rate"": 0.1}"
43,TECHNIQUE_43_NAME,TECHNIQUE_43_DESC,种魔夺天诀,DARK,UPPER,以天地为炉鼎，种魔种，夺天地造化，死中求生。,10,,5,"{""extra_battle_strength_points"": 6}"
44,TECHNIQUE_44_NAME,TECHNIQUE_44_DESC,千念分神术,GOLD,UPPER,专修神识，能分心多用，操控万千法器傀儡。,10,,5,"{""extra_battle_strength_points"": 6}"
45,TECHNIQUE_45_NAME,TECHNIQUE_45_DESC,大乐赋,WATER,UPPER,阴阳大道，极乐飞升。双修之至高法门。,10,,6,"{""extra_battle_strength_points"": 6}"
46,TECHNIQUE_46_NAME,TECHNIQUE_46_DESC,天魔舞,DARK,UPPER,域外天魔之舞，勾魂摄魄，乱人心智。,10,,6,"{""extra_battle_strength_points"": 6}"
47,TECHNIQUE_47_NAME,TECHNIQUE_47_DESC,烟波渺步,WIND,UPPER,体迅飞凫，飘忽若神，动无常则，若危若安。,10,,6,"{""extra_battle_strength_points"": 6, ""extra_escape_success_rate"": 0.2}"
48,TECHNIQUE_48_NAME,TECHNIQUE_48_DESC,无量寂灭经,EARTH,UPPER,神魂不灭，超脱彼岸。修成无量法身，万劫不磨。,10,,7,"{""extra_battle_strength_points"": 6}"
49,TECHNIQUE_49_NAME,TECHNIQUE_49_DESC,大威德金刚雷,THUNDER,UPPER,佛门护法金刚之怒，如雷霆万钧，震慑一切邪魔，荡涤世间污秽。,10,,7,"{""extra_battle_strength_points"": 6}"
50,TECHNIQUE_50_NAME,TECHNIQUE_50_DESC,六字大明咒,GOLD,UPPER,唵嘛呢叭咪吽。佛门至高咒语，蕴含无尽愿力，能净化世间一切罪业与灾厄。,10,,7,"{""extra_battle_strength_points"": 6}"
51,TECHNIQUE_51_NAME,TECHNIQUE_51_DESC,幽冥玄阴爪,DARK,UPPER,阴损毒辣，专破内家真气，触之即死。,10,,8,"{""extra_battle_strength_points"": 6}"
52,TECHNIQUE_52_NAME,TECHNIQUE_52_DESC,雷影瞬遁,WIND,UPPER,身化雷霆，瞬息千里，原地只留残影重重。,10,,8,"{""extra_battle_strength_points"": 6}"
53,TECHNIQUE_53_NAME,TECHNIQUE_53_DESC,修罗血煞功,EVIL,UPPER,以自身为皮，鲜血为墨。修炼者必先历经剥皮噬血之苦。,10,,8,"{""extra_breakthrough_success_rate"": -0.1, ""extra_respire_exp"": 50, ""extra_battle_strength_points"": 6}"
54,TECHNIQUE_54_NAME,TECHNIQUE_54_DESC,天工造物诀,GOLD,UPPER,炼器极致，化腐朽为神奇，万物皆可随心炼化。,10,,9,"{""extra_battle_strength_points"": 4, ""extra_cast_success_rate"": 0.2}"
55,TECHNIQUE_55_NAME,TECHNIQUE_55_DESC,万星飞仙阵,EARTH,UPPER,引周天星力，演化宇宙洪荒，攻防一体。,10,,9,"{""extra_battle_strength_points"": 6}"
56,TECHNIQUE_56_NAME,TECHNIQUE_56_DESC,金光遁法,WIND,UPPER,化作一道流金遁光，瞬息千里，乃逃生赶路之绝学。,10,,9,"{""extra_battle_strength_points"": 6, ""extra_move_step"": 2}"
57,TECHNIQUE_57_NAME,TECHNIQUE_57_DESC,浩然正气歌,GOLD,UPPER,天地有正气，杂然赋流形。养胸中浩然之气，诸邪不侵，万法不破。,10,,13,"{""extra_battle_strength_points"": 6}"
58,TECHNIQUE_58_NAME,TECHNIQUE_58_DESC,春秋笔法,WOOD,UPPER,笔落惊风雨，诗成泣鬼神。以圣人之言判春秋功过，一字千金。,10,,13,"{""extra_battle_strength_points"": 6}"
59,TECHNIQUE_59_NAME,TECHNIQUE_59_DESC,言出法随,THUNDER,UPPER,口含天宪，言出法随。以圣贤之语调动天地规则，令行禁止，莫敢不从。,10,,13,"{""extra_battle_strength_points"": 6}"
60,TECHNIQUE_60_NAME,TECHNIQUE_60_DESC,旭日锻体术,FIRE,LOWER,引旭日紫气淬炼皮膜，通体温热，气血充盈。,1,,12,"{extra_max_hp: 50}"
61,TECHNIQUE_61_NAME,TECHNIQUE_61_DESC,圣光琉璃身,GOLD,MIDDLE,身如琉璃，内外明澈，诸邪不侵，坚不可摧。,1,,12,"{extra_battle_strength_points: 3, damage_reduction: 0.1}"
62,TECHNIQUE_62_NAME,TECHNIQUE_62_DESC,大光明金身,GOLD,UPPER,长明宫镇派绝学。肉身成圣，金身不灭，光耀万古。,10,,12,"{extra_battle_strength_points: 8, extra_hp_recovery_rate: 1.0, extra_max_lifespan: 50}"